id;codigo;detalle;cantidad;precio
1;Supervisor convergence;customer loyalty azure;46770;22934
2;Bedfordshire SQL Heard Island and McDonald Islands;Lao People's Democratic Republic Bike Tuna;35758;63865
3;silver;supply-chains hard drive;62445;78619
4;integrated proactive;systemic e-tailers;74546;53112
5;Brand;UAE Dirham Towels;14734;48817
6;Small Rubber Shirt;Cote d'Ivoire Metal back up;46595;82821
7;Shores;Agent partnerships intermediate;83213;27787
8;frictionless;hub Agent Multi-channelled;96170;68685
9;Directives models;calculate Triple-buffered;2593;38716
10;Corporate;Associate;63950;82247
