id;codigo;detalle;cantidad;precio
1;ADP;quantifying circuit Fresh;41593;44371
2;integrated Checking Account;backing up Virginia;60244;93189
3;CFP Franc;Security;26374;78261
4;Credit Card Account;Maine Customer;10251;10315
5;Mill withdrawal;Avon Total bandwidth;94885;78441
6;Synergized;Handmade Concrete Pizza;10363;2636
7;Money Market Account;Digitized;84859;47187
8;intermediate Garden Switchable;Agent;49064;48033
9;Maine Auto Loan Account e-tailers;black Tasty;28993;61609
10;Rupiah Yuan Renminbi mobile;mindshare;29181;35017
