id;numero;cliente;fecha;total
1;29619;integrated primary;2020-04-17T12:38:03;87888
2;98176;Syrian Pound;2020-04-17T02:27:51;5996
3;65212;input;2020-04-17T10:02:35;54080
4;60692;Lake Handmade Rubber Towels Expanded;2020-04-17T15:06:08;61638
5;13941;Metal Kuwaiti Dinar solid state;2020-04-17T04:23:21;22755
6;87125;TCP;2020-04-17T18:13:21;98549
7;32215;North Carolina;2020-04-17T06:34:15;92512
8;1701;HDD Business-focused;2020-04-17T18:11:17;74065
9;7193;CFA Franc BCEAO installation New Taiwan Dollar;2020-04-17T18:43:20;59280
10;54748;Borders Tunisian Dinar Assurance;2020-04-17T23:58:14;5972
