id;codigo;detalle;det_adicional;precio;imagen;stock
1;budgetary management;cyan ivory;concept Motorway circuit;20978;Gorgeous online Western Sahara;85865
2;Checking Account;synthesizing;SDD;46039;deposit;34838
3;sensor reboot;Lithuanian Litas;Bermuda;53599;Tunnel;94847
4;virtual Small repurpose;Gibraltar Hat;Cape Verde Berkshire;35658;Uzbekistan Sum microchip Soft;22732
5;ROI multi-tasking Croatia;SSL incubate;application;65939;primary Hollow Sleek;36847
6;parse;heuristic Investor B2B;PCI Ukraine;20796;connect;28148
7;Cheese;Licensed;Tunisian Dinar solid state Benin;98022;Buckinghamshire District Jewelery;36237
8;copying;microchip Lesotho;Handcrafted Metal Chicken Intranet;86081;uniform program Michigan;59275
9;deposit;Markets Car;Shirt;40611;function Kids;87841
10;Kentucky;Tuna framework;matrix;60970;mindshare;56873
